Date,$FutureFlag,PM10,$TS-PM10
2020-03-01,0,2367.12,2367.297893
2020-03-02,0,2643.03,2464.175733
2020-03-03,0,2695.67,2766.230866
2020-03-04,0,2314.34,2580.802455
2020-03-05,0,1779.44,2295.611891
2020-03-06,0,1622.48,1724.440485
2020-03-07,0,1698.97,1629.716965
2020-03-08,0,1736.84,1660.775545
2020-03-09,0,1768.38,1833.819905
2020-03-10,0,1989.35,1891.823941
2020-03-11,0,1721.57,1874.315084
2020-03-12,0,1834.21,1702.728618
2020-03-13,0,2049.56,1778.565981
2020-03-14,0,1844.19,2056.425801
2020-03-15,0,1770.92,1806.275728
2020-03-16,0,2198.16,1868.01076
2020-03-17,0,2578.77,2321.210245
2020-03-18,0,2451.06,2463.575709
2020-03-19,0,2495.58,2432.079136
2020-03-20,0,2208.75,2440.003692
2020-03-21,0,2169.82,2216.115553
2020-03-22,0,1604.96,2131.740618
2020-03-23,0,1562.72,1702.540024
2020-03-24,0,1839.37,1686.238006
2020-03-25,0,1628.59,1724.279561
2020-03-26,0,1552.53,1609.691949
2020-03-27,0,1573.36,1497.073695
2020-03-28,0,1524.58,1580.419504
2020-03-29,0,1523.33,1486.509956
2020-03-30,0,1613.04,1620.349172
2020-03-31,0,1846.99,1736.426209
2020-04-01,0,1654.77,1731.941848
2020-04-02,0,1853.40,1635.85353
2020-04-03,0,1777.72,1797.670308
2020-04-04,0,1865.67,1784.875249
2020-04-05,0,1648.46,1827.463988
2020-04-06,0,1734.34,1745.693978
2020-04-07,0,1727.24,1857.730275
2020-04-08,0,1734.64,1612.431719
2020-04-09,0,1577.14,1715.525175
2020-04-10,0,1432.13,1521.764506
2020-04-11,0,1611.26,1439.354643
2020-04-12,0,1617.15,1572.963214
2020-04-13,0,1753.44,1714.161881
2020-04-14,0,1965.23,1876.779838
2020-04-15,0,1827.30,1850.203881
2020-04-16,0,1608.51,1808.329526
2020-04-17,0,1522.38,1553.195671
2020-04-18,0,1444.19,1529.546186
2020-04-19,0,1251.44,1406.149237
2020-04-20,0,1332.03,1348.649851
2020-04-21,0,1016.50,1455.425493
2020-04-22,0,1116.99,901.998768
2020-04-23,0,1276.51,1097.782677
2020-04-24,0,1227.19,1220.81894
2020-04-25,0,1230.66,1234.319153
2020-04-26,0,1199.66,1192.537896
2020-04-27,0,988.24,1296.708818
2020-04-28,0,1044.67,1111.925843
2020-04-29,0,1220.09,929.799045
2020-04-30,0,1521.09,1200.807715
2020-05-01,0,1585.22,1465.257985
2020-05-02,1,,1592.236087
2020-05-03,1,,1554.110345
2020-05-04,1,,1651.166146
2020-05-05,1,,1774.545035
2020-05-06,1,,1659.607257
2020-05-07,1,,1640.613924
2020-05-08,1,,1585.100636
2020-05-09,1,,1592.236087
2020-05-10,1,,1554.110345
2020-05-11,1,,1651.166146
2020-05-12,1,,1774.545035
2020-05-13,1,,1659.607257
2020-05-14,1,,1640.613924
2020-05-15,1,,1585.100636
2020-05-16,1,,1592.236087
2020-05-17,1,,1554.110345
2020-05-18,1,,1651.166146
2020-05-19,1,,1774.545035
2020-05-20,1,,1659.607257
2020-05-21,1,,1640.613924
2020-05-22,1,,1585.100636
2020-05-23,1,,1592.236087
2020-05-24,1,,1554.110345
2020-05-25,1,,1651.166146
2020-05-26,1,,1774.545035
2020-05-27,1,,1659.607257
2020-05-28,1,,1640.613924
2020-05-29,1,,1585.100636
2020-05-30,1,,1592.236087
2020-05-31,1,,1554.110345
2020-06-01,1,,1651.166146
2020-06-02,1,,1774.545035
2020-06-03,1,,1659.607257
2020-06-04,1,,1640.613924
2020-06-05,1,,1585.100636
2020-06-06,1,,1592.236087
2020-06-07,1,,1554.110345
2020-06-08,1,,1651.166146
2020-06-09,1,,1774.545035
2020-06-10,1,,1659.607257
2020-06-11,1,,1640.613924
2020-06-12,1,,1585.100636
2020-06-13,1,,1592.236087
2020-06-14,1,,1554.110345
2020-06-15,1,,1651.166146
2020-06-16,1,,1774.545035
2020-06-17,1,,1659.607257
2020-06-18,1,,1640.613924
2020-06-19,1,,1585.100636
2020-06-20,1,,1592.236087
2020-06-21,1,,1554.110345
2020-06-22,1,,1651.166146
2020-06-23,1,,1774.545035
2020-06-24,1,,1659.607257
2020-06-25,1,,1640.613924
2020-06-26,1,,1585.100636
2020-06-27,1,,1592.236087
2020-06-28,1,,1554.110345
2020-06-29,1,,1651.166146
2020-06-30,1,,1774.545035
2020-07-01,1,,1659.607257
2020-07-02,1,,1640.613924
2020-07-03,1,,1585.100636
2020-07-04,1,,1592.236087
2020-07-05,1,,1554.110345
2020-07-06,1,,1651.166146
2020-07-07,1,,1774.545035
2020-07-08,1,,1659.607257
2020-07-09,1,,1640.613924
2020-07-10,1,,1585.100636
2020-07-11,1,,1592.236087
2020-07-12,1,,1554.110345
2020-07-13,1,,1651.166146
2020-07-14,1,,1774.545035
2020-07-15,1,,1659.607257
2020-07-16,1,,1640.613924
2020-07-17,1,,1585.100636
2020-07-18,1,,1592.236087
2020-07-19,1,,1554.110345
2020-07-20,1,,1651.166146
2020-07-21,1,,1774.545035
2020-07-22,1,,1659.607257
2020-07-23,1,,1640.613924
2020-07-24,1,,1585.100636
2020-07-25,1,,1592.236087
2020-07-26,1,,1554.110345
2020-07-27,1,,1651.166146
2020-07-28,1,,1774.545035
2020-07-29,1,,1659.607257
2020-07-30,1,,1640.613924
2020-07-31,1,,1585.100636
2020-08-01,1,,1592.236087
2020-08-02,1,,1554.110345
2020-08-03,1,,1651.166146
2020-08-04,1,,1774.545035
2020-08-05,1,,1659.607257
2020-08-06,1,,1640.613924
2020-08-07,1,,1585.100636
2020-08-08,1,,1592.236087
2020-08-09,1,,1554.110345
2020-08-10,1,,1651.166146
2020-08-11,1,,1774.545035
2020-08-12,1,,1659.607257
2020-08-13,1,,1640.613924
2020-08-14,1,,1585.100636
2020-08-15,1,,1592.236087
2020-08-16,1,,1554.110345
2020-08-17,1,,1651.166146
2020-08-18,1,,1774.545035
2020-08-19,1,,1659.607257
2020-08-20,1,,1640.613924
2020-08-21,1,,1585.100636
2020-08-22,1,,1592.236087
2020-08-23,1,,1554.110345
2020-08-24,1,,1651.166146
2020-08-25,1,,1774.545035
2020-08-26,1,,1659.607257
2020-08-27,1,,1640.613924
2020-08-28,1,,1585.100636
2020-08-29,1,,1592.236087
2020-08-30,1,,1554.110345
2020-08-31,1,,1651.166146
2020-09-01,1,,1774.545035
2020-09-02,1,,1659.607257
2020-09-03,1,,1640.613924
2020-09-04,1,,1585.100636
2020-09-05,1,,1592.236087
2020-09-06,1,,1554.110345
2020-09-07,1,,1651.166146
2020-09-08,1,,1774.545035
2020-09-09,1,,1659.607257
2020-09-10,1,,1640.613924
2020-09-11,1,,1585.100636
2020-09-12,1,,1592.236087
2020-09-13,1,,1554.110345
2020-09-14,1,,1651.166146
2020-09-15,1,,1774.545035
2020-09-16,1,,1659.607257
2020-09-17,1,,1640.613924
2020-09-18,1,,1585.100636
2020-09-19,1,,1592.236087
2020-09-20,1,,1554.110345
2020-09-21,1,,1651.166146
2020-09-22,1,,1774.545035
2020-09-23,1,,1659.607257
2020-09-24,1,,1640.613924
2020-09-25,1,,1585.100636
2020-09-26,1,,1592.236087
2020-09-27,1,,1554.110345
2020-09-28,1,,1651.166146
2020-09-29,1,,1774.545035
2020-09-30,1,,1659.607257
2020-10-01,1,,1640.613924
2020-10-02,1,,1585.100636
2020-10-03,1,,1592.236087
2020-10-04,1,,1554.110345
2020-10-05,1,,1651.166146
2020-10-06,1,,1774.545035
2020-10-07,1,,1659.607257
2020-10-08,1,,1640.613924
2020-10-09,1,,1585.100636
2020-10-10,1,,1592.236087
2020-10-11,1,,1554.110345
2020-10-12,1,,1651.166146
2020-10-13,1,,1774.545035
2020-10-14,1,,1659.607257
2020-10-15,1,,1640.613924
2020-10-16,1,,1585.100636
2020-10-17,1,,1592.236087
2020-10-18,1,,1554.110345
2020-10-19,1,,1651.166146
2020-10-20,1,,1774.545035
2020-10-21,1,,1659.607257
2020-10-22,1,,1640.613924
2020-10-23,1,,1585.100636
2020-10-24,1,,1592.236087
2020-10-25,1,,1554.110345
2020-10-26,1,,1651.166146
2020-10-27,1,,1774.545035
2020-10-28,1,,1659.607257
2020-10-29,1,,1640.613924
2020-10-30,1,,1585.100636
2020-10-31,1,,1592.236087
2020-11-01,1,,1554.110345
2020-11-02,1,,1651.166146
2020-11-03,1,,1774.545035
2020-11-04,1,,1659.607257
2020-11-05,1,,1640.613924
2020-11-06,1,,1585.100636
2020-11-07,1,,1592.236087
2020-11-08,1,,1554.110345
2020-11-09,1,,1651.166146
2020-11-10,1,,1774.545035
2020-11-11,1,,1659.607257
2020-11-12,1,,1640.613924
2020-11-13,1,,1585.100636
2020-11-14,1,,1592.236087
2020-11-15,1,,1554.110345
2020-11-16,1,,1651.166146
2020-11-17,1,,1774.545035
2020-11-18,1,,1659.607257
2020-11-19,1,,1640.613924
2020-11-20,1,,1585.100636
2020-11-21,1,,1592.236087
2020-11-22,1,,1554.110345
2020-11-23,1,,1651.166146
2020-11-24,1,,1774.545035
2020-11-25,1,,1659.607257
2020-11-26,1,,1640.613924
2020-11-27,1,,1585.100636
2020-11-28,1,,1592.236087
2020-11-29,1,,1554.110345
2020-11-30,1,,1651.166146
2020-12-01,1,,1774.545035
2020-12-02,1,,1659.607257
2020-12-03,1,,1640.613924
2020-12-04,1,,1585.100636
2020-12-05,1,,1592.236087
2020-12-06,1,,1554.110345
2020-12-07,1,,1651.166146
2020-12-08,1,,1774.545035
2020-12-09,1,,1659.607257
2020-12-10,1,,1640.613924
2020-12-11,1,,1585.100636
2020-12-12,1,,1592.236087
2020-12-13,1,,1554.110345
2020-12-14,1,,1651.166146
2020-12-15,1,,1774.545035
2020-12-16,1,,1659.607257
2020-12-17,1,,1640.613924
2020-12-18,1,,1585.100636
2020-12-19,1,,1592.236087
2020-12-20,1,,1554.110345
2020-12-21,1,,1651.166146
2020-12-22,1,,1774.545035
2020-12-23,1,,1659.607257
2020-12-24,1,,1640.613924
2020-12-25,1,,1585.100636
2020-12-26,1,,1592.236087
2020-12-27,1,,1554.110345
2020-12-28,1,,1651.166146
2020-12-29,1,,1774.545035
2020-12-30,1,,1659.607257
2020-12-31,1,,1640.613924
2021-01-01,1,,1585.100636
2021-01-02,1,,1592.236087
2021-01-03,1,,1554.110345
2021-01-04,1,,1651.166146
2021-01-05,1,,1774.545035
2021-01-06,1,,1659.607257
2021-01-07,1,,1640.613924
2021-01-08,1,,1585.100636
2021-01-09,1,,1592.236087
2021-01-10,1,,1554.110345
2021-01-11,1,,1651.166146
2021-01-12,1,,1774.545035
2021-01-13,1,,1659.607257
2021-01-14,1,,1640.613924
2021-01-15,1,,1585.100636
2021-01-16,1,,1592.236087
2021-01-17,1,,1554.110345
2021-01-18,1,,1651.166146
2021-01-19,1,,1774.545035
2021-01-20,1,,1659.607257
2021-01-21,1,,1640.613924
2021-01-22,1,,1585.100636
2021-01-23,1,,1592.236087
2021-01-24,1,,1554.110345
2021-01-25,1,,1651.166146
2021-01-26,1,,1774.545035
2021-01-27,1,,1659.607257
2021-01-28,1,,1640.613924
2021-01-29,1,,1585.100636
2021-01-30,1,,1592.236087
2021-01-31,1,,1554.110345
2021-02-01,1,,1651.166146
2021-02-02,1,,1774.545035
2021-02-03,1,,1659.607257
2021-02-04,1,,1640.613924
2021-02-05,1,,1585.100636
2021-02-06,1,,1592.236087
2021-02-07,1,,1554.110345
2021-02-08,1,,1651.166146
2021-02-09,1,,1774.545035
2021-02-10,1,,1659.607257
2021-02-11,1,,1640.613924
2021-02-12,1,,1585.100636
2021-02-13,1,,1592.236087
2021-02-14,1,,1554.110345
2021-02-15,1,,1651.166146
2021-02-16,1,,1774.545035
2021-02-17,1,,1659.607257
2021-02-18,1,,1640.613924
2021-02-19,1,,1585.100636
2021-02-20,1,,1592.236087
2021-02-21,1,,1554.110345
2021-02-22,1,,1651.166146
2021-02-23,1,,1774.545035
2021-02-24,1,,1659.607257
2021-02-25,1,,1640.613924
2021-02-26,1,,1585.100636
2021-02-27,1,,1592.236087
2021-02-28,1,,1554.110345
2021-03-01,1,,1651.166146
2021-03-02,1,,1774.545035
2021-03-03,1,,1659.607257
2021-03-04,1,,1640.613924
2021-03-05,1,,1585.100636
2021-03-06,1,,1592.236087
2021-03-07,1,,1554.110345
2021-03-08,1,,1651.166146
2021-03-09,1,,1774.545035
2021-03-10,1,,1659.607257
2021-03-11,1,,1640.613924
2021-03-12,1,,1585.100636
2021-03-13,1,,1592.236087
2021-03-14,1,,1554.110345
2021-03-15,1,,1651.166146
2021-03-16,1,,1774.545035
2021-03-17,1,,1659.607257
2021-03-18,1,,1640.613924
2021-03-19,1,,1585.100636
2021-03-20,1,,1592.236087
2021-03-21,1,,1554.110345
2021-03-22,1,,1651.166146
2021-03-23,1,,1774.545035
2021-03-24,1,,1659.607257
2021-03-25,1,,1640.613924
2021-03-26,1,,1585.100636
2021-03-27,1,,1592.236087
2021-03-28,1,,1554.110345
2021-03-29,1,,1651.166146
2021-03-30,1,,1774.545035
2021-03-31,1,,1659.607257
2021-04-01,1,,1640.613924
2021-04-02,1,,1585.100636
2021-04-03,1,,1592.236087
2021-04-04,1,,1554.110345
2021-04-05,1,,1651.166146
2021-04-06,1,,1774.545035
2021-04-07,1,,1659.607257
2021-04-08,1,,1640.613924
2021-04-09,1,,1585.100636
