Date,$FutureFlag,NO,$TS-NO
2020-08-20,1,,282.237389
2020-08-21,1,,267.248525
2020-08-22,1,,228.868102
2020-08-23,1,,243.009568
2020-08-24,1,,248.676277
2020-08-25,1,,288.001833
2020-08-26,1,,320.966278
2020-08-27,1,,282.237389
2020-08-28,1,,267.248525
2020-08-29,1,,228.868102
2020-08-30,1,,243.009568
2020-08-31,1,,248.676277
2020-09-01,1,,288.001833
2020-09-02,1,,320.966278
2020-09-03,1,,282.237389
2020-09-04,1,,267.248525
2020-09-05,1,,228.868102
2020-09-06,1,,243.009568
2020-09-07,1,,248.676277
2020-09-08,1,,288.001833
2020-09-09,1,,320.966278
2020-09-10,1,,282.237389
2020-09-11,1,,267.248525
2020-09-12,1,,228.868102
2020-09-13,1,,243.009568
2020-09-14,1,,248.676277
2020-09-15,1,,288.001833
2020-09-16,1,,320.966278
2020-09-17,1,,282.237389
2020-09-18,1,,267.248525
2020-09-19,1,,228.868102
2020-09-20,1,,243.009568
2020-09-21,1,,248.676277
2020-09-22,1,,288.001833
2020-09-23,1,,320.966278
2020-09-24,1,,282.237389
2020-09-25,1,,267.248525
2020-09-26,1,,228.868102
2020-09-27,1,,243.009568
2020-09-28,1,,248.676277
2020-09-29,1,,288.001833
2020-09-30,1,,320.966278
2020-10-01,1,,282.237389
2020-10-02,1,,267.248525
2020-10-03,1,,228.868102
2020-10-04,1,,243.009568
2020-10-05,1,,248.676277
2020-10-06,1,,288.001833
2020-10-07,1,,320.966278
2020-10-08,1,,282.237389
2020-10-09,1,,267.248525
2020-10-10,1,,228.868102
2020-10-11,1,,243.009568
2020-10-12,1,,248.676277
2020-10-13,1,,288.001833
2020-10-14,1,,320.966278
2020-10-15,1,,282.237389
2020-10-16,1,,267.248525
2020-10-17,1,,228.868102
2020-10-18,1,,243.009568
2020-10-19,1,,248.676277
2020-10-20,1,,288.001833
2020-10-21,1,,320.966278
2020-10-22,1,,282.237389
2020-10-23,1,,267.248525
2020-10-24,1,,228.868102
2020-10-25,1,,243.009568
2020-10-26,1,,248.676277
2020-10-27,1,,288.001833
2020-10-28,1,,320.966278
2020-10-29,1,,282.237389
2020-10-30,1,,267.248525
2020-10-31,1,,228.868102
2020-11-01,1,,243.009568
2020-11-02,1,,248.676277
2020-11-03,1,,288.001833
2020-11-04,1,,320.966278
2020-11-05,1,,282.237389
2020-11-06,1,,267.248525
2020-11-07,1,,228.868102
2020-11-08,1,,243.009568
2020-11-09,1,,248.676277
2020-11-10,1,,288.001833
2020-11-11,1,,320.966278
2020-11-12,1,,282.237389
2020-11-13,1,,267.248525
2020-11-14,1,,228.868102
2020-11-15,1,,243.009568
2020-11-16,1,,248.676277
2020-11-17,1,,288.001833
2020-11-18,1,,320.966278
2020-11-19,1,,282.237389
2020-11-20,1,,267.248525
2020-11-21,1,,228.868102
2020-11-22,1,,243.009568
2020-11-23,1,,248.676277
2020-11-24,1,,288.001833
2020-11-25,1,,320.966278
2020-11-26,1,,282.237389
2020-11-27,1,,267.248525
2020-11-28,1,,228.868102
2020-11-29,1,,243.009568
2020-11-30,1,,248.676277
2020-12-01,1,,288.001833
2020-12-02,1,,320.966278
2020-12-03,1,,282.237389
2020-12-04,1,,267.248525
2020-12-05,1,,228.868102
2020-12-06,1,,243.009568
2020-12-07,1,,248.676277
2020-12-08,1,,288.001833
2020-12-09,1,,320.966278
2020-12-10,1,,282.237389
2020-12-11,1,,267.248525
2020-12-12,1,,228.868102
2020-12-13,1,,243.009568
2020-12-14,1,,248.676277
2020-12-15,1,,288.001833
2020-12-16,1,,320.966278
2020-12-17,1,,282.237389
2020-12-18,1,,267.248525
2020-12-19,1,,228.868102
2020-12-20,1,,243.009568
2020-12-21,1,,248.676277
2020-12-22,1,,288.001833
2020-12-23,1,,320.966278
2020-12-24,1,,282.237389
2020-12-25,1,,267.248525
2020-12-26,1,,228.868102
2020-12-27,1,,243.009568
2020-12-28,1,,248.676277
2020-12-29,1,,288.001833
2020-12-30,1,,320.966278
2020-12-31,1,,282.237389
2021-01-01,1,,267.248525
2021-01-02,1,,228.868102
2021-01-03,1,,243.009568
2021-01-04,1,,248.676277
2021-01-05,1,,288.001833
2021-01-06,1,,320.966278
2021-01-07,1,,282.237389
2021-01-08,1,,267.248525
2021-01-09,1,,228.868102
2021-01-10,1,,243.009568
2021-01-11,1,,248.676277
2021-01-12,1,,288.001833
2021-01-13,1,,320.966278
2021-01-14,1,,282.237389
2021-01-15,1,,267.248525
2021-01-16,1,,228.868102
2021-01-17,1,,243.009568
2021-01-18,1,,248.676277
2021-01-19,1,,288.001833
2021-01-20,1,,320.966278
2021-01-21,1,,282.237389
2021-01-22,1,,267.248525
2021-01-23,1,,228.868102
2021-01-24,1,,243.009568
2021-01-25,1,,248.676277
2021-01-26,1,,288.001833
2021-01-27,1,,320.966278
2021-01-28,1,,282.237389
2021-01-29,1,,267.248525
2021-01-30,1,,228.868102
2021-01-31,1,,243.009568
2021-02-01,1,,248.676277
2021-02-02,1,,288.001833
2021-02-03,1,,320.966278
2021-02-04,1,,282.237389
2021-02-05,1,,267.248525
2021-02-06,1,,228.868102
2021-02-07,1,,243.009568
2021-02-08,1,,248.676277
2021-02-09,1,,288.001833
2021-02-10,1,,320.966278
2021-02-11,1,,282.237389
2021-02-12,1,,267.248525
2021-02-13,1,,228.868102
2021-02-14,1,,243.009568
2021-02-15,1,,248.676277
2021-02-16,1,,288.001833
2021-02-17,1,,320.966278
2021-02-18,1,,282.237389
2021-02-19,1,,267.248525
2021-02-20,1,,228.868102
2021-02-21,1,,243.009568
2021-02-22,1,,248.676277
2021-02-23,1,,288.001833
2021-02-24,1,,320.966278
2021-02-25,1,,282.237389
2021-02-26,1,,267.248525
2021-02-27,1,,228.868102
2021-02-28,1,,243.009568
2021-03-01,1,,248.676277
2021-03-02,1,,288.001833
2021-03-03,1,,320.966278
2021-03-04,1,,282.237389
