Date,$FutureFlag,PM2.5,$TS-PM2.5
2020-03-01,0,1239.49,1239.577372
2020-03-02,0,1363.77,1275.920087
2020-03-03,0,1294.56,1434.223557
2020-03-04,0,1098.61,1245.880304
2020-03-05,0,877.00,1094.378997
2020-03-06,0,718.66,833.906706
2020-03-07,0,718.15,721.664045
2020-03-08,0,754.11,704.799812
2020-03-09,0,830.81,790.490899
2020-03-10,0,1073.43,901.310815
2020-03-11,0,841.05,1024.439568
2020-03-12,0,829.16,836.85496
2020-03-13,0,871.98,785.857779
2020-03-14,0,827.69,874.78341
2020-03-15,0,806.33,814.38327
2020-03-16,0,963.93,842.768065
2020-03-17,0,1155.51,1034.35031
2020-03-18,0,1160.70,1106.57018
2020-03-19,0,1326.99,1156.268327
2020-03-20,0,1149.01,1283.510009
2020-03-21,0,1198.19,1152.033223
2020-03-22,0,983.77,1184.790354
2020-03-23,0,903.25,1020.400446
2020-03-24,0,1088.09,973.90782
2020-03-25,0,994.87,1039.157101
2020-03-26,0,908.27,990.53647
2020-03-27,0,921.24,865.041995
2020-03-28,0,844.99,924.073257
2020-03-29,0,663.57,831.71505
2020-03-30,0,752.68,700.167723
2020-03-31,0,905.22,823.168843
2020-04-01,0,942.91,856.319046
2020-04-02,0,934.16,938.446014
2020-04-03,0,818.88,890.854345
2020-04-04,0,867.36,821.840931
2020-04-05,0,833.82,853.960823
2020-04-06,0,817.96,870.270326
2020-04-07,0,762.25,888.553327
2020-04-08,0,683.41,713.556701
2020-04-09,0,714.94,679.062314
2020-04-10,0,783.07,671.594283
2020-04-11,0,850.52,785.848156
2020-04-12,0,807.45,837.101702
2020-04-13,0,828.13,843.909789
2020-04-14,0,926.37,898.686883
2020-04-15,0,820.61,877.52328
2020-04-16,0,768.19,816.289023
2020-04-17,0,707.13,724.928015
2020-04-18,0,647.23,710.036972
2020-04-19,0,579.74,633.938705
2020-04-20,0,617.62,616.22426
2020-04-21,0,442.87,688.159787
2020-04-22,0,519.53,394.295292
2020-04-23,0,618.03,515.027492
2020-04-24,0,585.29,574.617437
2020-04-25,0,534.52,588.168575
2020-04-26,0,511.27,521.219582
2020-04-27,0,429.27,547.710188
2020-04-28,0,493.99,499.929097
2020-04-29,0,641.23,445.17693
2020-04-30,0,686.78,636.656902
2020-05-01,0,718.47,643.420093
2020-05-02,1,,721.284382
2020-05-03,1,,707.930518
2020-05-04,1,,744.360736
2020-05-05,1,,814.901847
2020-05-06,1,,766.082958
2020-05-07,1,,761.705181
2020-05-08,1,,718.39524
