Date,$FutureFlag,NO2,$TS-NO2
2020-03-01,0,542.97,542.970004
2020-03-02,0,596.46,565.27662
2020-03-03,0,584.03,596.897945
2020-03-04,0,531.84,581.680348
2020-03-05,0,480.40,524.821855
2020-03-06,0,433.37,466.638055
2020-03-07,0,465.50,433.882481
2020-03-08,0,463.97,465.450325
2020-03-09,0,472.57,486.309293
2020-03-10,0,441.84,473.008823
2020-03-11,0,446.16,439.471674
2020-03-12,0,487.85,439.090723
2020-03-13,0,498.43,474.005992
2020-03-14,0,443.11,498.949669
2020-03-15,0,434.89,443.114711
2020-03-16,0,477.75,457.223778
2020-03-17,0,520.77,478.137109
2020-03-18,0,573.50,518.365709
2020-03-19,0,557.03,566.424339
2020-03-20,0,464.14,543.219828
2020-03-21,0,431.89,464.68293
2020-03-22,0,311.28,431.919283
2020-03-23,0,319.00,333.754998
2020-03-24,0,336.88,319.444518
2020-03-25,0,300.44,334.513422
2020-03-26,0,273.58,293.389038
2020-03-27,0,258.83,259.710543
2020-03-28,0,269.25,259.340998
2020-03-29,0,250.00,269.148693
2020-03-30,0,283.50,272.479378
2020-03-31,0,281.60,283.950931
2020-04-01,0,274.26,279.201693
2020-04-02,0,249.93,267.194162
2020-04-03,0,269.92,236.07693
2020-04-04,0,286.88,270.407052
2020-04-05,0,279.81,286.743061
2020-04-06,0,261.78,302.307335
2020-04-07,0,249.22,262.269125
2020-04-08,0,252.28,246.829804
2020-04-09,0,262.76,245.19144
2020-04-10,0,274.60,248.923204
2020-04-11,0,273.07,275.077847
2020-04-12,0,246.59,272.928137
2020-04-13,0,267.71,269.073145
2020-04-14,0,275.68,268.18743
2020-04-15,0,259.75,273.287759
2020-04-16,0,267.46,252.692558
2020-04-17,0,237.44,253.634117
2020-04-18,0,233.89,237.932043
2020-04-19,0,209.82,233.725835
2020-04-20,0,239.69,232.325693
2020-04-21,0,240.97,240.167557
2020-04-22,0,255.47,238.563415
2020-04-23,0,260.60,248.410413
2020-04-24,0,248.96,246.745726
2020-04-25,0,242.95,249.445782
2020-04-26,0,239.77,242.768421
2020-04-27,0,261.40,262.286056
2020-04-28,0,253.09,261.879247
2020-04-29,0,269.12,250.70912
2020-04-30,0,259.59,262.05419
2020-05-01,0,288.77,245.740408
2020-05-02,1,,289.206238
2020-05-03,1,,289.021658
2020-05-04,1,,311.536827
2020-05-05,1,,312.007283
2020-05-06,1,,309.644817
2020-05-07,1,,302.576545
2020-05-08,1,,288.769994
2020-05-09,1,,289.206238
2020-05-10,1,,289.021658
2020-05-11,1,,311.536827
